2023-05-11 06:50:30,2023-05-11 06:51:30,Twitter Web App,632
2023-05-11 06:50:30,2023-05-11 06:51:30,Tweetbot for iΟS,6
2023-05-11 06:50:30,2023-05-11 06:51:30,Orlo,1
2023-05-11 06:50:30,2023-05-11 06:51:30,Оwly,1
2023-05-11 06:50:30,2023-05-11 06:51:30,Agorapulse app,2
2023-05-11 06:50:30,2023-05-11 06:51:30,positive,2
2023-05-11 06:50:30,2023-05-11 06:51:30,Microsoft Power Platform,1
2023-05-11 06:44:30,2023-05-11 06:45:30,Loomly,1
2023-05-11 06:44:30,2023-05-11 06:45:30,0
2023-05-11 06:44:30,2023-05-11 06:45:30,Blog2Social APP,1
2023-05-11 06:44:30,2023-05-11 06:45:30,Echobox,2
2023-05-11 06:44:30,2023-05-11 06:45:30,Cyber-Desk,1
2023-05-11 06:44:30,2023-05-11 06:45:30,Instagram,3
2023-05-11 06:44:30,2023-05-11 06:45:30,Twitter for iPad,8
2023-05-11 06:44:30,2023-05-11 06:45:30,Sked Social,1
2023-05-11 06:44:30,2023-05-11 06:45:30,Twitter for iPhone,216
2023-05-11 06:44:30,2023-05-11 06:45:30,IFTTT,4
2023-05-11 06:44:30,2023-05-11 06:45:30,SocialFlow,2
2023-05-11 06:44:30,2023-05-11 06:45:30,TweetDeck,22
2023-05-11 06:44:30,2023-05-11 06:45:30,SMMplanner,5
2023-05-11 06:44:30,2023-05-11 06:45:30,Twitter Web App,137
2023-05-11 06:44:30,2023-05-11 06:45:30,TWTD Admin,1
2023-05-11 06:44:30,2023-05-11 06:45:30,Twittimer,1
2023-05-11 06:44:30,2023-05-11 06:45:30,Hootsuite Inc.,10
2023-05-11 06:44:30,2023-05-11 06:45:30,Qualtrics Social Connect,23
2023-05-11 06:44:30,2023-05-11 06:45:30,Talon Android,1
2023-05-11 06:44:30,2023-05-11 06:45:30,Twitter for Android,184
2023-05-11 06:44:30,2023-05-11 06:45:30,Emplifi,1
2023-05-11 06:44:30,2023-05-11 06:45:30,LinkedIn,1
2023-05-11 06:44:30,2023-05-11 06:45:30,SocialPilot.co,1
